@relation PROCESSAR_TEXTO
@attribute SER integer
@attribute IR integer
@attribute NÃO integer
@attribute TER integer
@attribute ANO integer
@attribute ESTAR integer
@attribute FAZER integer
@attribute MAIS integer
@attribute COMO integer
@attribute TEXTO integer
@attribute JÁ integer
@attribute PODER integer
@attribute CASA integer
@attribute HAVER integer
@attribute DIA integer
@attribute GAUCHAR integer
@attribute TÉCNICO integer
@attribute QUANDO integer
@attribute PASSAR integer
@attribute JOGAR integer
@attribute FICAR integer
@attribute SÓ integer
@attribute AINDA integer
@attribute LOCAL integer
@attribute DEVER integer
@attribute JOGO integer
@attribute TAMBÉM integer
@attribute DIZER integer
@attribute MORADOR integer
@attribute PESSOA integer
@attribute DEPOIS integer
@attribute CHEGAR integer
@attribute DAR integer
@attribute TRABALHO integer
@attribute VEZ integer
@attribute FEIRA integer
@attribute LEVAR integer
@attribute VAGA integer
@attribute MUITO integer
@attribute INFORMAR integer
@attribute TEMPO integer
@attribute SABER integer
@attribute ABRIR integer
@attribute ENCONTRAR integer
@attribute RUA integer
@attribute VER integer
@attribute ÁREA integer
@attribute PROBLEMA integer
@attribute CASO integer
@attribute TRÁFICO integer
@attribute POSTAR integer
@attribute SEMANA integer
@attribute HOMEM integer
@attribute CURSO integer
@attribute FAMÍLIA integer
@attribute CARRO integer
@attribute CONTAR integer
@attribute AQUI integer
@attribute NOITE integer
@attribute MÊS integer
@attribute NOVO integer
@attribute COLOCAR integer
@attribute POLÍCIA integer
@attribute FINAL integer
@attribute PARTE integer
@attribute AUXILIAR integer
@attribute HOMICÍDIO integer
@attribute CRIME integer
@attribute PREFEITURA integer
@attribute MAIOR integer
@attribute RECEBER integer
@attribute QUERER integer
@attribute HOJE integer
@attribute HORA integer
@attribute COLORAR integer
@attribute CONHECER integer
@attribute PRECISAR integer
@attribute FRENTE integer
@attribute ACONTECER integer
@attribute GOL integer
@attribute FILHO integer
@attribute VIR integer
@attribute ONDE integer
@attribute TRABALHAR integer
@attribute DELEGADO integer
@attribute DEIXAR integer
@attribute SITUAÇÃO integer
@attribute GRANDE integer
@attribute PRINCIPAL integer
@attribute SEMPRE integer
@attribute MEIO integer
@attribute PRÓXIMO integer
@attribute ANTES integer
@attribute REALIZAR integer
@attribute MOMENTO integer
@attribute COMEÇAR integer
@attribute PÚBLICO integer
@attribute ONTEM integer
@attribute VEÍCULO integer
@attribute PARTIDA integer
@attribute FUTEBOL integer
@attribute LIXO integer
@attribute ÚLTIMO integer
@attribute VIA integer
@attribute ESCOLA integer
@attribute AFIRMAR integer
@attribute ACORDO integer
@attribute LIGAR integer
@attribute EMPRESA integer
@attribute CLUBE integer
@attribute AGORA integer
@attribute VITÓRIA integer
@attribute BEM integer
@attribute VOLTAR integer
@attribute POLICIAL integer
@attribute APENAS integer
@attribute SAIR integer
@attribute FEIRAR integer
@attribute PROFISSIONAL integer
@attribute PRIMEIRO integer
@attribute TENTAR integer
@attribute OCORRER integer
@attribute REGIÃO integer
@attribute ATENDER integer
@attribute ENTRAR integer
@attribute TORCER integer
@attribute MELHOR integer
@attribute EXPLICAR integer
@attribute DROGA integer
@attribute NÚMERO integer
@attribute TARDE integer
@attribute ÁGUA integer
@attribute GRUPO integer
@attribute CONSEGUIR integer
@attribute SEXTA integer
@attribute ASSIM integer
@attribute ADOLESCENTE integer
@attribute SELEÇÃO integer
@attribute REDE integer
@attribute DOMINGO integer
@attribute PROCURAR integer
@attribute PONTO integer
@attribute BAIRRO integer
@attribute ESTADO integer
@attribute CRIANÇA integer
@attribute TIRO integer
@attribute JULHO integer
@attribute ESPERAR integer
@attribute PEDIR integer
@attribute INVESTIGAR integer
@attribute QUARTA integer
@attribute ENCAMINHAR integer
@attribute VOLTA integer
@attribute GARANTIR integer
@attribute MINUTO integer
@attribute SERVIÇO integer
@attribute MESMO integer
@attribute LUGAR integer
@attribute JOVEM integer
@attribute TRAFICANTE integer
@attribute CAMPO integer
@attribute BOM integer
@attribute VENCER integer
@attribute EMPREGO integer
@attribute FALAR integer
@attribute PERÍODO integer
@attribute DONO integer
@attribute AGOSTO integer
@attribute MARCAR integer
@attribute SEGUIR integer
@attribute ADVERSÁRIO integer
@attribute MÃE integer
@attribute ENTÃO integer
@attribute SERIAR integer
@attribute MANHÃ integer
@attribute OUTUBRO integer
@attribute CRIMINOSO integer
@attribute AÇÃO integer
@attribute COMUNIDADE integer
@attribute INSCRIÇÃO integer
@attribute MOSTRAR integer
@attribute OBRA integer
@attribute EXEMPLO integer
@attribute CIDADE integer
@attribute APONTAR integer
@attribute TELEFONE integer
@attribute ESPAÇO integer
@attribute AVALIAR integer
@attribute PRECISO integer
@attribute GENTE integer
@attribute VIVER integer
@attribute FORMA integer
@attribute SEGURANÇA integer
@attribute BALDO integer
@attribute SÁBADO integer
@attribute CONDIÇÃO integer
@attribute ENFRENTAR integer
@attribute ACABAR integer
@attribute USAR integer
@attribute TÍTULO integer
@attribute RECLAMAR integer
@attribute PERDER integer
@attribute MAIO integer
@attribute MÉDICO integer
@attribute ENVIAR integer
@attribute ENVOLVER integer
@attribute JUNHO integer
@attribute LEMBRAR integer
@attribute GANHAR integer
@attribute TOMAR integer
@attribute QUASE integer
@attribute VILA integer
@attribute ÔNIBUS integer
@attribute SETEMBRO integer
@attribute MANTER integer
@attribute DIÁRIO integer
@attribute CHUVA integer
@attribute QUADRILHA integer
@attribute MENINO integer
@attribute VÍTIMA integer
@attribute MULHER integer
@attribute LIMPEZA integer
@attribute CAMINHÃO integer
@attribute OPORTUNIDADE integer
@attribute VIZINHO integer
@attribute CONTINUAR integer
@attribute LADO integer
@attribute MENOR integer
@attribute DIFERENTE integer
@attribute OUVIR integer
@attribute MEDO integer
@attribute INVADIR integer
@attribute ALUNO integer
@attribute GERAL integer
@attribute SALA integer
@attribute PROJETO integer
@attribute PÉ integer
@attribute RESPONSÁVEL integer
@attribute MORTE integer
@attribute APREENDER integer
@attribute PARECER integer
@attribute INÍCIO integer
@attribute LÍDER integer
@attribute ENTANTO integer
@attribute FECHAR integer
@attribute FALTA integer
@attribute TRATAR integer
@attribute BOA integer
@attribute BUSCA integer
@attribute COISA integer
@attribute ACHAR integer
@attribute CONTA integer
@attribute MORAR integer
@attribute DISPUTAR integer
@attribute MUDAR integer
@attribute ESTÁDIO integer
@attribute CANDIDATO integer
@attribute NOVA integer
@attribute DIFICULDADE integer
@attribute ALI integer
@attribute ARMA integer
@attribute ASSALTO integer
@attribute OFERECER integer
@attribute RESIDÊNCIA integer
@attribute ATUAÇÃO integer
@attribute DIRETOR integer
@attribute FATO integer
@attribute TORNAR integer
@attribute HISTÓRIA integer
@attribute VIDA integer
@attribute DIREITO integer
@attribute MUNDO integer
@attribute CONFIRMAR integer
@attribute TORRAR integer
@attribute SAÚDE integer
@attribute ESGOTO integer
@attribute CONCURSO integer
@attribute ATUAR integer
@attribute CONSIDERAR integer
@attribute RESPOSTA integer
@attribute PROVA integer
@attribute CUMPRIR integer
@attribute MUNICÍPIO integer
@attribute ASSALTAR integer
@attribute MÍNIMO integer
@attribute ATINGIR integer
@attribute PROFESSOR integer
@attribute APRESENTAR integer
@attribute CABEÇA integer
@attribute RESOLVER integer
@attribute PRISÃO integer
@attribute TORRE integer
@attribute ENDEREÇO integer
@attribute BURACO integer
@attribute FORMAR integer
@attribute BUSCAR integer
@attribute PARTICIPAR integer
@attribute COMPANHEIRO integer
@attribute FORTE integer
@attribute SOFRER integer
@attribute IMPORTANTE integer
@attribute VIRAR integer
@attribute SALÁRIO integer
@attribute MATAR integer
@attribute TROCAR integer
@attribute SUSPEITAR integer
@attribute IDENTIFICAR integer
@attribute VIATURA integer
@attribute ESQUINA integer
@attribute ENSINO integer
@attribute PENSAR integer
@attribute DUPLO integer
@attribute CONTRATAR integer
@attribute NÍVEL integer
@attribute RESULTADO integer
@attribute ACREDITAR integer
@attribute AÍ integer
@attribute APOSENTADO integer
@attribute ATIVIDADE integer
@attribute PREOCUPAR integer
@attribute ACOMPANHAR integer
@attribute ROUBAR integer
@attribute PAGAR integer
@attribute JANEIRO integer
@attribute MERCADO integer
@attribute CALÇADA integer
@attribute UTILIZAR integer
@attribute FUNÇÃO integer
@attribute MOTIVO integer
@attribute SÉRIE integer
@attribute POSSÍVEL integer
@attribute FUNCIONÁRIO integer
@attribute INTERESSAR integer
@attribute MÉDIO integer
@attribute TRABALHADOR integer
@attribute FASE integer
@attribute FERIR integer
@attribute PRAZO integer
@attribute MÃO integer
@attribute DIFÍCIL integer
@attribute PIOR integer
@attribute FUNDAMENTAL integer
@attribute TORCIDA integer
@attribute NUNCA integer
@attribute CAIR integer
@attribute IRMÃO integer
@attribute RESPONDER integer
@attribute BASE integer
@attribute CORRER integer
@attribute PEDIDO integer
@attribute TERÇA integer
@attribute SUBSTITUIR integer
@attribute CRIAR integer
@attribute RETIRAR integer
@attribute BANDO integer
@attribute ROCHA integer
@attribute ESCLARECER integer
@attribute APROVEITAR integer
@attribute ÚNICO integer
@attribute FÍSICO integer
@attribute COMUM integer
@attribute CONQUISTAR integer
@attribute ANTIGO integer
@attribute TIPO integer
@attribute TRAZER integer
@attribute TERRENO integer
@attribute LÁ integer
@attribute EXISTIR integer
@attribute CURRÍCULO integer
@attribute BOCA integer
@attribute CARGO integer
@attribute VAGO integer
@attribute ROUBO integer
@attribute OPERAÇÃO integer
@attribute ESTACIONAR integer
@attribute DESABAFAR integer
@attribute PROCESSO integer
@attribute CORPO integer
@attribute SETOR integer
@attribute ATUAL integer
@attribute ESPECIAL integer
@attribute ALTO integer
@attribute PREVER integer
@attribute TRICOLOR integer
@attribute ABANDONAR integer
@attribute AJUDAR integer
@attribute ATÉ integer
@attribute FORÇA integer
@attribute SOCIAL integer
@attribute CHAMAR integer
@attribute SUPERIOR integer
@attribute ADMINISTRAR integer
@attribute NOME integer
@attribute RELATAR integer
@attribute FUGIR integer
@attribute CRESCER integer
@attribute DADO integer
@attribute MORRER integer
@attribute AGENTE integer
@attribute COMERCIANTE integer
@attribute classe {ESPORTE, POLICIA, PROBLEMA, TRABALHADOR}
@data
1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ESPORTE
1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ESPORTE
1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ESPORTE
1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ESPORTE
1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ESPORTE
1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ESPORTE
1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ESPORTE
1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ESPORTE
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0, ESPORTE
1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ESPORTE
