@relation PROCESSAR_TEXTO
@attribute DE_DE integer
@attribute DE_EM integer
@attribute DE_ANO integer
@attribute EM_EM integer
@attribute TEXTO_GAUCHAR integer
@attribute EM_DE integer
@attribute SER_DE integer
@attribute DE_A integer
@attribute ESTAR_EM integer
@attribute POR_A integer
@attribute NÃO_SER integer
@attribute POSTAR_POR integer
@attribute DE_CASA integer
@attribute DE_SER integer
@attribute NÃO_TER integer
@attribute DIA_DE integer
@attribute EM_LOCAL integer
@attribute A_DE integer
@attribute ANO_IR integer
@attribute GAUCHAR_DE integer
@attribute GAUCHAR_COM integer
@attribute EM_ANO integer
@attribute PARTE_DE integer
@attribute CHEGAR_A integer
@attribute COM_DE integer
@attribute FINAL_DE integer
@attribute EM_DIA integer
@attribute DE_TRABALHO integer
@attribute DEPOIS_DE integer
@attribute EM_CASA integer
@attribute AUXILIAR_DE integer
@attribute EM_FRENTE integer
@attribute ACORDO_COM integer
@attribute DE_IR integer
@attribute DE_NÃO integer
@attribute CASA_DE integer
@attribute DE_ACORDO integer
@attribute TEXTO_COM integer
@attribute DE_TER integer
@attribute TER_SER integer
@attribute DE_POR integer
@attribute ANTES_DE integer
@attribute PODER_SER integer
@attribute NÃO_PODER integer
@attribute POR_DE integer
@attribute ANO_PASSAR integer
@attribute DE_TRÁFICO integer
@attribute DE_PARA integer
@attribute TÉCNICO_EM integer
@attribute IR_EM integer
@attribute NÃO_HAVER integer
@attribute MAIS_DE integer
@attribute ENTRAR_EM integer
@attribute NÃO_IR integer
@attribute SER_FAZER integer
@attribute EM_ÁREA integer
@attribute DONO_DE integer
@attribute BALDO_COM integer
@attribute DE_COM integer
@attribute DE_ESTAR integer
@attribute ANO_EM integer
@attribute MORADOR_DE integer
@attribute DE_CRIME integer
@attribute A_EM integer
@attribute DEVER_SER integer
@attribute ANO_DE integer
@attribute EM_SER integer
@attribute DE_JOGAR integer
@attribute SER_EM integer
@attribute ESTAR_COM integer
@attribute TER_DE integer
@attribute A_SER integer
@attribute EM_FINAL integer
@attribute POR_COM integer
@attribute FRENTE_A integer
@attribute SER_PRECISO integer
@attribute COM_EM integer
@attribute DE_AGOSTO integer
@attribute DE_DROGA integer
@attribute DE_JOGO integer
@attribute DE_FUTEBOL integer
@attribute EM_MOMENTO integer
@attribute NOITE_DE integer
@attribute DE_HOMICÍDIO integer
@attribute IR_ENCONTRAR integer
@attribute DE_OUTUBRO integer
@attribute PARA_SER integer
@attribute COM_COLORAR integer
@attribute DE_TÉCNICO integer
@attribute DE_JULHO integer
@attribute SAIR_DE integer
@attribute FICAR_EM integer
@attribute EM_POR integer
@attribute EM_IR integer
@attribute AINDA_NÃO integer
@attribute EM_ENTANTO integer
@attribute ÁREA_DE integer
@attribute CASA_EM integer
@attribute EM_NOITE integer
@attribute EM_TER integer
@attribute classe {ESPORTE, POLICIA, PROBLEMA, TRABALHADOR}
@data
0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0, ESPORTE
1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0, ESPORTE
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ESPORTE
1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ESPORTE
1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0, ESPORTE
0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, ESPORTE
0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ESPORTE
0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, ESPORTE
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0, ESPORTE
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0, ESPORTE
